Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID
GAL3ST1	22	30950622	30970574	ENSG00000128242
ENPEP	4	111286889	111486441	ENSG00000138792
MCTP1	HSCHR5_1_CTG2	94039446	94636885	ENSG00000262742
TAF9B	X	77385245	77395203	ENSG00000187325
SYT12	11	66774249	66818334	ENSG00000173227
KIN	10	7792925	7829990	ENSG00000151657
PLAA	9	26904081	26947461	ENSG00000137055
EREG	4	75230860	75254468	ENSG00000124882
ATAD1	10	89511269	89601100	ENSG00000138138
MTRNR2L1	17	22022437	22023991	ENSG00000256618
CMTR1	6	37400995	37450603	ENSG00000137200
RNF5	HSCHR6_MHC_COX	32094614	32097047	ENSG00000228405
SPTAN1	9	131314866	131395941	ENSG00000197694
B4GALT6	18	29202210	29265799	ENSG00000118276
ITPRIPL1	2	96991069	96994091	ENSG00000198885
ANAPC5	12	121746048	121837699	ENSG00000089053
DHX16	HSCHR6_MHC_QBL	30610400	30630349	ENSG00000206486
ZNF230	19	44507100	44518078	ENSG00000159882
AP5Z1	7	4815253	4833943	ENSG00000242802
GNB1L	22	19770747	19842462	ENSG00000185838
PPP1R1A	12	54969171	54982443	ENSG00000135447
AREG	4	75310851	75320726	ENSG00000109321
CD6	11	60739115	60787849	ENSG00000013725
MYBBP1A	17	4442192	4458926	ENSG00000132382
NBEAL1	2	203879602	204091101	ENSG00000144426
GTF2A2	15	59930261	59949740	ENSG00000140307
HAPLN4	19	19366450	19373605	ENSG00000187664
AC079210.1	17	66539369	66542970	ENSG00000269657
UQCRQ	5	132202252	132203723	ENSG00000164405
HIST1H3C	6	26045639	26046097	ENSG00000196532
WSB1	17	25621102	25640657	ENSG00000109046
HAT1	2	172778958	172848599	ENSG00000128708
B3GNT5	3	182971032	183016292	ENSG00000176597
CHID1	11	867357	915058	ENSG00000177830
KNDC1	10	134973951	135039916	ENSG00000171798
C11orf1	11	111749659	111756699	ENSG00000137720
HBE1	11	5289582	5526847	ENSG00000213931
TM6SF2	19	19375173	19384200	ENSG00000213996
FGL2	7	76822688	76829143	ENSG00000127951
ARHGAP26	5	142149949	142608576	ENSG00000145819
HIST1H1C	6	26055968	26056699	ENSG00000187837
FAM198A	3	43020759	43101703	ENSG00000144649
DDAH2	HSCHR6_MHC_COX	31682228	31685807	ENSG00000226634
ARL17A	17	44594068	44657088	ENSG00000185829
C16orf91	16	1469745	1479345	ENSG00000174109
NCOA1	2	24714783	24993571	ENSG00000084676
CHRM5	15	34260921	34357291	ENSG00000184984
NAT1	8	18027986	18081198	ENSG00000171428
ATE1	10	123499939	123688316	ENSG00000107669
TNF	HSCHR6_MHC_APD	31555632	31557434	ENSG00000228978
ZNF222	19	44529494	44537265	ENSG00000159885
XIAP	X	122993574	123047829	ENSG00000101966
LACRT	12	55024595	55028679	ENSG00000135413
ZNF705A	12	8290733	8341133	ENSG00000196946
CRYAB	11	111779289	111794446	ENSG00000109846
ACAP3	1	1227756	1244989	ENSG00000131584
EMC7	15	34376218	34394149	ENSG00000134153
C10orf10	10	45466429	45474258	ENSG00000165507
KCTD2	17	73028670	73061984	ENSG00000180901
LTB	HSCHR6_MHC_APD	31559653	31561620	ENSG00000231314
CCDC154	16	1484384	1494557	ENSG00000197599
GRB2	17	73314157	73401790	ENSG00000177885
SEL1L3	4	25749055	25865382	ENSG00000091490
POMGNT2	3	43120724	43147568	ENSG00000144647
OGG1	3	9791628	9829903	ENSG00000114026
RNF145	5	158584417	158637061	ENSG00000145860
ABCA8	17	66863433	66951533	ENSG00000141338
PRRT1	HSCHR6_MHC_SSTO	32123003	32129017	ENSG00000235956
OR51B4	11	5322244	5323226	ENSG00000183251
IFRD1	7	112063023	112121072	ENSG00000006652
SSSCA1	11	65337901	65341413	ENSG00000173465
STRADA	17	61780192	61819330	ENSG00000266173
LEAP2	5	132208014	132210738	ENSG00000164406
OR51B2	11	5344541	5345582	ENSG00000184881
KCNMB2	3	177990720	178562217	ENSG00000197584
BNIP2	15	59951345	59981733	ENSG00000140299
C7orf33	7	148287657	148312952	ENSG00000170279
CAPN14	2	31395924	31456724	ENSG00000214711
PNLIPRP3	10	118187379	118237469	ENSG00000203837
PES1	22	30972612	31003070	ENSG00000100029
SERF1B	5	69321074	69338940	ENSG00000205572
OR51B5	11	5363744	5364809	ENSG00000242180
TMCC1	3	129366635	129612419	ENSG00000172765
SLC25A52	18	29339525	29340843	ENSG00000141437
ISOC1	5	128430444	128449721	ENSG00000066583
OR51B6	11	5372738	5373676	ENSG00000176239
Z98049.1	6	166945369	166947709	ENSG00000269048
RP11-514O12.4	6	167271582	167369612	ENSG00000249141
RADIL	7	4836686	4923350	ENSG00000157927
ZNF223	19	44555520	44572144	ENSG00000178386
CR1L	1	207818458	207911761	ENSG00000197721
FAM89B	11	65339820	65341669	ENSG00000176973
GSAP	7	76940068	77045717	ENSG00000186088
MYLIP	6	16129356	16148479	ENSG00000007944
HSPB2	11	111782966	111789574	ENSG00000170276
SMPD3	16	68392231	68482591	ENSG00000103056
NRD1	1	52254863	52344477	ENSG00000078618
SRP54	14	35451163	35498773	ENSG00000100883
AC011997.1	2	198557830	198639547	ENSG00000222017
AREGB	4	75480629	75490486	ENSG00000205595
C11orf52	11	111788756	111797596	ENSG00000149300
MARS2	2	198570087	198573113	ENSG00000247626
OR51M1	11	5410607	5411664	ENSG00000184698
C22orf29	22	19833661	19842419	ENSG00000215012
GPR179	17	36481413	36499730	ENSG00000188888
CKAP2L	2	113493930	113522254	ENSG00000169607
OR51J1	11	5423827	5424777	ENSG00000184321
OR51Q1	11	5443341	5444436	ENSG00000167360
IFT74	9	26947037	27062928	ENSG00000096872
ZWILCH	15	66797297	66842115	ENSG00000174442
MROH6	8	144648357	144655141	ENSG00000204839
OR51I1	11	5461800	5462744	ENSG00000167359
AC117834.1	8	93895865	93898013	ENSG00000212999
OR51I2	11	5474638	5475707	ENSG00000187918
SCRG1	4	174305852	174327531	ENSG00000164106
RNASET2	6	167342992	167370679	ENSG00000026297
SEPW1	19	48281829	48287943	ENSG00000178980
C8orf87	8	94146324	94179079	ENSG00000254318
UGP2	2	64068074	64118696	ENSG00000169764
MMP21	10	127455022	127464390	ENSG00000154485
ARL6IP6	2	153574407	153617767	ENSG00000177917
OR52D1	11	5509915	5510979	ENSG00000181609
AC016885.1	8	94241867	94242388	ENSG00000268080
LST1	HSCHR6_MHC_APD	31565222	31568007	ENSG00000235915
UBQLN3	11	5528530	5531215	ENSG00000175520
UBE2S	19	55912652	55919145	ENSG00000108106
TSSC4	11	2421718	2425106	ENSG00000184281
EHBP1L1	11	65343509	65360121	ENSG00000173442
SIX3	2	45168902	45173216	ENSG00000138083
MED20	6	41873092	41888877	ENSG00000124641
C6orf203	6	107349407	107372546	ENSG00000130349
HAND2	4	174446120	174451380	ENSG00000164107
NEDD4L	18	55711599	56068772	ENSG00000049759
MAP3K15	X	19378174	19533379	ENSG00000180815
STPG1	1	24683489	24743424	ENSG00000001460
NAT2	8	18248755	18258728	ENSG00000156006
ZNF479	HG736_PATCH	57187307	57207557	ENSG00000260513
AFF4	5	132211071	132299326	ENSG00000072364
CLCN7	16	1494935	1525581	ENSG00000103249
AAK1	2	69688532	69901481	ENSG00000115977
LRP1	12	57522276	57607134	ENSG00000123384
ZNF284	19	44576297	44593766	ENSG00000186026
SOCS7	17	36508111	36556019	ENSG00000174111
BRWD1	21	40556102	40693485	ENSG00000185658
DCD	12	55038375	55042277	ENSG00000161634
BOLL	2	198591603	198651486	ENSG00000152430
TRAPPC8	18	29409136	29533099	ENSG00000153339
SHISA7	19	55940107	55954230	ENSG00000187902
ARNT	1	150782181	150849244	ENSG00000143437
CUTA	6	33384219	33386094	ENSG00000112514
UBLCP1	5	158690089	158713044	ENSG00000164332
UBQLNL	11	5535623	5537935	ENSG00000175518
SPATA20	17	48620419	48633213	ENSG00000006282
FBXO8	4	175157809	175205415	ENSG00000164117
SAPCD1	6	31730576	31732628	ENSG00000228727
SLC25A26	3	66119285	66438540	ENSG00000144741
TSSK1B	5	112768251	112770728	ENSG00000212122
SIX2	2	45232300	45236569	ENSG00000170577
CXCR2	2	218990012	219001976	ENSG00000180871
TBC1D20	20	416124	443197	ENSG00000125875
MIEN1	17	37884749	37887040	ENSG00000141741
ZNF224	19	44598492	44612479	ENSG00000267680
CIB4	2	26804070	26864236	ENSG00000157884
TPRX1	19	48304500	48322308	ENSG00000178928
GMPR	6	16238811	16295780	ENSG00000137198
ISOC2	19	55964352	55973710	ENSG00000063241
CLASP1	2	122095352	122407163	ENSG00000074054
UROS	10	127477146	127511817	ENSG00000188690
HFE	6	26087509	26098571	ENSG00000010704
SVOPL	7	138279030	138386097	ENSG00000157703
CTC1	17	8130191	8151362	ENSG00000178971
OR52H1	11	5565719	5566779	ENSG00000181616
TSPAN10	17	79604197	79615779	ENSG00000182612
OR52B6	11	5602107	5603114	ENSG00000187747
RHOD	11	66824289	66839484	ENSG00000173156
SUGP1	19	19386827	19431653	ENSG00000105705
SNRK	3	43328004	43466256	ENSG00000163788
DOK1	2	74776153	74784681	ENSG00000115325
ICK	6	52866077	52926600	ENSG00000112144
PPT2	HSCHR6_MHC_SSTO	32127544	32146625	ENSG00000227600
YTHDC2	5	112849380	112930982	ENSG00000047188
FAM92A1	8	94710789	94743755	ENSG00000188343
ALDH5A1	6	24495080	24537435	ENSG00000112294
ALDOA	16	30064411	30081778	ENSG00000149925
CXCR1	2	219027568	219031718	ENSG00000163464
BEND3	6	107386386	107436473	ENSG00000178409
ZMAT3	3	178735011	178790067	ENSG00000172667
PSD3	8	18384811	18942240	ENSG00000156011
WNT7A	3	13857755	13921618	ENSG00000154764
BTBD10	11	13409548	13484844	ENSG00000148925
SPATA9	5	94987885	95034415	ENSG00000145757
TCN2	22	31002825	31023265	ENSG00000185339
KCNK3	2	26915619	26956288	ENSG00000171303
AGPAT6	8	41434706	41482520	ENSG00000158669
NAPRT1	8	144656955	144660819	ENSG00000147813
TMTC3	12	88536073	88593664	ENSG00000139324
PDSS2	6	107473761	107780768	ENSG00000164494
RPL38	17	72199721	72206794	ENSG00000172809
TRIM6	11	5617339	5634188	ENSG00000121236
FOXB1	15	60296421	60353929	ENSG00000171956
VWA7	6	31733367	31745108	ENSG00000204396
ARMC8	3	137906109	138017231	ENSG00000114098
LXN	3	158363611	158390482	ENSG00000079257
TYSND1	10	71897737	71906432	ENSG00000156521
DIXDC1	11	111797868	111893308	ENSG00000150764
ESYT1	12	56512034	56538455	ENSG00000139641
NCR3	HSCHR6_MHC_APD	31567993	31572083	ENSG00000236315
CD5	11	60869867	60895324	ENSG00000110448
ARPC2	2	219081817	219119079	ENSG00000163466
SLC39A2	14	21467414	21470030	ENSG00000165794
PREX1	20	47240790	47444420	ENSG00000124126
TRPM5	11	2425745	2444275	ENSG00000070985
SRBD1	2	45615819	45839304	ENSG00000068784
GPR45	2	105858200	105859924	ENSG00000135973
MUCL1	12	55224303	55252177	ENSG00000172551
LRRC19	9	26993134	27005691	ENSG00000184434
SLC35F6	2	26987152	27004099	ENSG00000213699
CEP44	4	175204828	175254531	ENSG00000164118
FGFR1OP	6	167412670	167466201	ENSG00000213066
KDM2A	11	66886740	67025558	ENSG00000173120
LCTL	15	66839517	66858317	ENSG00000188501
TRPC4	13	38210773	38444562	ENSG00000133107
AC012360.1	2	105867759	105869601	ENSG00000268556
ZNF84	GL000223.1	42781	68787	ENSG00000218497
ULK1	12	132379196	132407712	ENSG00000177169
CAMK1	3	9799026	9811676	ENSG00000134072
ZNF628	19	55987699	55995854	ENSG00000197483
HNRNPA3	2	178077291	178088686	ENSG00000170144
SLFN12	17	33738079	33760302	ENSG00000172123
ZNF26	GL000223.1	93511	119608	ENSG00000236575
SLC8B1	12	113736564	113797298	ENSG00000089060
TGFBRAP1	2	105880871	105946491	ENSG00000135966
IL12B	5	158741791	158757895	ENSG00000113302
AL603926.1	GL000223.1	149787	180454	ENSG00000229631
SLC35E4	22	31031639	31065003	ENSG00000100036
NAT14	19	55996371	55998935	ENSG00000090971
CSNK2A1	20	459116	524465	ENSG00000101266
NME1-NME2	17	49230920	49249108	ENSG00000243678
RPRM	2	154333852	154335322	ENSG00000177519
CRX	19	48322703	48346587	ENSG00000105392
APBB1IP	10	26727132	26856732	ENSG00000077420
XRCC4	5	82373317	82649606	ENSG00000152422
BTC	4	75669969	75719896	ENSG00000174808
ADAMTS19	5	128795958	129074376	ENSG00000145808
ARHGAP23	17	36584662	36668628	ENSG00000225485
DUSP18	22	31048038	31063877	ENSG00000167065
ADRA1B	5	159343790	159399551	ENSG00000170214
VPS37C	11	60897728	60929089	ENSG00000167987
TEK	9	27109139	27230173	ENSG00000120156
ANO10	3	43396351	43733086	ENSG00000160746
TGFBI	5	135364584	135399507	ENSG00000120708
SLC5A10	17	18853658	18925908	ENSG00000154025
SPTB	14	65213002	65346601	ENSG00000070182
C10orf76	10	103605356	103815950	ENSG00000120029
KIAA1462	10	30301729	30404423	ENSG00000165757
RP11-321F6.1	15	66874528	66978132	ENSG00000259471
PDZD2	5	31639517	32111037	ENSG00000133401
ADCK4	19	41197434	41224112	ENSG00000123815
PARM1	4	75858305	75975325	ENSG00000169116
COMTD1	10	76993727	76995788	ENSG00000165644
RARRES1	3	158414681	158450485	ENSG00000118849
TTC1	5	159436120	159492550	ENSG00000113312
PTX4	16	1535887	1538982	ENSG00000251692
PGBD4	15	34394274	34396591	ENSG00000182405
CCNK	14	99947506	100001381	ENSG00000090061
TPRX2P	19	48337701	48364769	ENSG00000259009
ZNF225	19	44616334	44637027	ENSG00000256294
NEUROD1	2	182537815	182545603	ENSG00000162992
CYSLTR1	X	77526961	77583048	ENSG00000173198
SULT2A1	19	48373723	48389654	ENSG00000105398
SMAD6	15	66994566	67074338	ENSG00000137834
PPP1R18	HSCHR6_MHC_QBL	30633702	30645208	ENSG00000206485
RP11-363G10.2	X	51942963	51946358	ENSG00000179028
MSH5	HSCHR6_MHC_APD	31735723	31742275	ENSG00000233345
XAGE2B	X	52112173	52118823	ENSG00000155622
NIPAL3	1	24742284	24799466	ENSG00000001461
CD46	1	207925402	207968858	ENSG00000117335
BSPH1	19	48471303	48495427	ENSG00000188334
TELO2	16	1543345	1560458	ENSG00000100726
ALG9	HG388_HG400_PATCH	111657010	111750144	ENSG00000267229
SSC5D	19	55999771	56030465	ENSG00000179954
ATP5H	17	73034958	73043080	ENSG00000167863
AP4M1	7	99699172	99707968	ENSG00000221838
ZNF234	19	44645710	44663156	ENSG00000263002
KATNBL1	15	34432875	34502297	ENSG00000134152
PITX2	4	111538579	111563279	ENSG00000164093
SLC40A1	2	190425305	190448484	ENSG00000138449
CENPA	2	26987157	27023935	ENSG00000115163
SAR1A	10	71907045	71930279	ENSG00000079332
PNLIP	10	118305443	118327367	ENSG00000175535
CBX1	17	46147414	46178883	ENSG00000108468
ELSPBP1	19	48497908	48528410	ENSG00000169393
ZCCHC5	X	77911566	77914825	ENSG00000179300
KLHL6	3	183205319	183273477	ENSG00000172578
SH3KBP1	X	19552093	19905719	ENSG00000147010
XAGE1B	X	52235228	52243954	ENSG00000204382
GPR110	6	46965440	47010099	ENSG00000153292
TSSC1	2	3192696	3381653	ENSG00000032389
SOBP	6	107811162	107981357	ENSG00000112320
LAMP5	20	9495005	9511171	ENSG00000125869
TADA3	3	9821544	9834695	ENSG00000171148
FDXACB1	HG388_HG400_PATCH	111744779	111751966	ENSG00000262028
M1AP	2	74785010	74875465	ENSG00000159374
RCHY1	4	76404247	76439974	ENSG00000163743
NRM	HSCHR6_MHC_QBL	30645360	30648733	ENSG00000206484
TMEM14B	6	10747992	10852986	ENSG00000137210
PTH	11	13513602	13517728	ENSG00000152266
LPAR4	X	78003206	78012591	ENSG00000147145
CCR6	6	167525295	167553184	ENSG00000112486
TXNRD2	22	19863040	19929341	ENSG00000184470
PUSL1	1	1243947	1247057	ENSG00000169972
CCDC85C	14	99977603	100070363	ENSG00000205476
KIAA1024L	5	129083772	129102425	ENSG00000186367
RHOBTB3	5	95049226	95160087	ENSG00000164292
NR3C1	5	142657496	142815077	ENSG00000113580
OSBP2	22	31089769	31303811	ENSG00000184792
C11orf1	HG388_HG400_PATCH	111749658	111756698	ENSG00000262176
METAP1D	2	172864490	172947158	ENSG00000172878
SSFA2	2	182756560	182795465	ENSG00000138434
PGA3	11	60970779	60980570	ENSG00000229859
DNAJC21	5	34929698	34959069	ENSG00000168724
SMN2	5	69345350	69374349	ENSG00000205571
NSF	17	44668035	44834830	ENSG00000073969
ZNF226	19	44669226	44682534	ENSG00000167380
SLFN13	17	33762115	33775856	ENSG00000154760
ZFP90	16	68563993	68609975	ENSG00000184939
CHSY3	5	129240165	129522327	ENSG00000198108
ACTR3	2	114647537	114720173	ENSG00000115091
FAR1	11	13690217	13753893	ENSG00000197601
PIK3CA	3	178865902	178957881	ENSG00000121879
KRT12	HSCHR17_4_CTG4	39017555	39023462	ENSG00000263243
TCP10L2	6	167559902	167610401	ENSG00000166984
DLAT	11	111895538	111935114	ENSG00000150768
ZNHIT3	17	34842473	34855154	ENSG00000108278
KRT20	HSCHR17_4_CTG4	39032193	39041479	ENSG00000263057
AP001885.1	11	66963391	66964638	ENSG00000179038
EQTN	9	27284656	27297137	ENSG00000120160
SMAD3	15	67356101	67487533	ENSG00000166949
P2RY10	X	78200829	78217451	ENSG00000078589
GAP43	3	115342171	115440337	ENSG00000172020
RPS18	HSCHR6_MHC_COX	33161393	33165893	ENSG00000235650
SP140	2	231067826	231223762	ENSG00000079263
SH2D4A	8	19171128	19253729	ENSG00000104611
C10orf25	10	45493146	45496336	ENSG00000165511
GPR31	6	167569759	167571817	ENSG00000120436
ADRBK1	11	67033881	67054027	ENSG00000173020
RAB3B	1	52373628	52456436	ENSG00000169213
NCAPH	2	97001525	97039583	ENSG00000121152
RP1-127H14.3	12	120137573	120138816	ENSG00000255692
GRB7	17	37894180	37903544	ENSG00000141738
SAPCD1	HSCHR6_MHC_APD	31741930	31743982	ENSG00000227861
HINT1	5	130494720	130507428	ENSG00000169567
TESPA1	12	55341802	55378530	ENSG00000135426
CUL1	7	148395006	148498128	ENSG00000055130
KCNQ1	11	2465914	2870339	ENSG00000053918
STK17A	7	43622357	43666385	ENSG00000164543
CRYAB	HG388_HG400_PATCH	111779288	111794445	ENSG00000263007
UNC93A	6	167684657	167729507	ENSG00000112494
EIF1AY	Y	22737611	22755040	ENSG00000198692
CDK5	7	150750899	150755617	ENSG00000164885
AC012360.2	2	105882490	105882585	ENSG00000268809
MOB3B	9	27325207	27529779	ENSG00000120162
FAM90A1	12	8373856	8380214	ENSG00000171847
EMC4	15	34517200	34522357	ENSG00000128463
CCDC64	12	120427673	120532298	ENSG00000135127
C2orf49	2	105953816	105965668	ENSG00000135974
CABP5	19	48533210	48547310	ENSG00000105507
GPR174	X	78426469	78427726	ENSG00000147138
CR753819.1	HSCHR6_MHC_DBB	31112259	31112376	ENSG00000257148
ASIC1	12	50451331	50477394	ENSG00000110881
HECTD4	12	112597992	112819896	ENSG00000173064
HPGD	4	175411328	175444305	ENSG00000164120
IFT140	16	1560428	1662111	ENSG00000187535
ARPC4	3	9834179	9849410	ENSG00000241553
TCF19	HSCHR6_MHC_DBB	31120050	31125719	ENSG00000233890
IFNK	9	27524312	27526496	ENSG00000147896
NME2	17	49230951	49249105	ENSG00000011052
ITM2A	X	78615881	78623164	ENSG00000078596
CLEC6A	12	8608522	8630926	ENSG00000205846
RCAN3	1	24829387	24867530	ENSG00000117602
ARFGEF2	20	47538427	47653230	ENSG00000124198
TRIM6-TRIM34	11	5617955	5665628	ENSG00000258588
BYSL	6	41888926	41900784	ENSG00000112578
VWA7	HSCHR6_MHC_APD	31744721	31756461	ENSG00000238203
HMGN1	21	40714241	40721573	ENSG00000205581
FKBP5	6	35541362	35696360	ENSG00000096060
SBK2	19	56041100	56048456	ENSG00000187550
MAD2L1BP	6	43597277	43608689	ENSG00000124688
UFM1	13	38923986	38937140	ENSG00000120686
C6orf136	HSCHR6_MHC_DBB	30605056	30611220	ENSG00000237012
CDH3	16	68670092	68756519	ENSG00000062038
TXNDC12	1	52485803	52521843	ENSG00000117862
KLLN	10	89618918	89623194	ENSG00000227268
C9orf72	9	27546544	27573864	ENSG00000147894
CLEC4D	12	8662071	8674962	ENSG00000166527
ITPKC	19	41223008	41246765	ENSG00000086544
TTLL2	6	167738574	167772991	ENSG00000120440
DPYSL5	2	27070615	27173219	ENSG00000157851
SBK3	19	56052023	56056909	ENSG00000231274
ATXN1	6	16299343	16761722	ENSG00000124788
NCMAP	1	24882602	24935819	ENSG00000184454
FAM177A1	14	35514113	35582336	ENSG00000151327
ZNF503	10	77157588	77161664	ENSG00000165655
PNLIPRP1	10	118349897	118368687	ENSG00000187021
ZNF22	10	45495923	45500774	ENSG00000165512
ZNF579	19	56088899	56092211	ENSG00000218891
PLA2G4C	19	48551100	48614074	ENSG00000105499
RNF125	18	29598335	29653176	ENSG00000101695
WDR34	9	131395940	131419066	ENSG00000119333
PTEN	10	89622870	89731687	ENSG00000171862
UBD	HSCHR6_MHC_DBB	29523343	29527656	ENSG00000231968
SEMA4F	2	74881355	74909186	ENSG00000135622
OR13A1	10	45798102	45811056	ENSG00000256574
PDE6G	17	79617489	79630142	ENSG00000185527
MFSD1	3	158449987	158547508	ENSG00000118855
TCP10	6	167770521	167797998	ENSG00000203690
FIZ1	19	56102746	56113336	ENSG00000179943
PIH1D2	11	111934734	111944998	ENSG00000150773
POU5F1	HSCHR6_MHC_DBB	31120916	31132215	ENSG00000229094
C19orf54	19	41246761	41257458	ENSG00000188493
OR2H2	HSCHR6_MHC_DBB	29555643	29556705	ENSG00000229680
NKX6-3	8	41502697	41508855	ENSG00000165066
CDV3	3	133292574	133309105	ENSG00000091527
UTF1	10	135043778	135045062	ENSG00000171794
ACTL9	19	8807751	8809172	ENSG00000181786
PAK7	20	9518036	9819689	ENSG00000101349
ZKSCAN8	6	28109688	28127250	ENSG00000198315
CLEC4E	12	8685901	8693559	ENSG00000166523
CSGALNACT1	8	19261672	19615540	ENSG00000147408
VENTX	10	135050908	135055433	ENSG00000151650
OR2Z1	19	8841316	8842371	ENSG00000181733
LYRM7	5	130506503	130541119	ENSG00000186687
EGFL8	HSCHR6_MHC_SSTO	32139229	32142928	ENSG00000239974
FBXO41	2	73481810	73511559	ENSG00000163013
FREM2	13	39261266	39460074	ENSG00000150893
GALNT13	2	154728426	155310361	ENSG00000144278
LSMEM1	7	112120908	112131117	ENSG00000181016
RNF138	18	29671818	29711524	ENSG00000134758
PGA4	11	60989688	61018929	ENSG00000229183
MORC2	22	31321117	31364284	ENSG00000133422
TRIM34	11	5640994	5665628	ENSG00000258659
PSMC3IP	17	40724333	40729849	ENSG00000131470
RXRB	HSCHR6_MHC_DBB	33139275	33146375	ENSG00000228333
DEDD2	19	42702750	42724292	ENSG00000160570
ZNF558	19	8920380	8943004	ENSG00000167785
C6orf123	6	168185217	168197539	ENSG00000146521
FHL2	2	105974169	106054970	ENSG00000115641
LINGO2	9	27948076	28670283	ENSG00000174482
KTI12	1	52497775	52499488	ENSG00000198841
AL009178.1	6	168196210	168198927	ENSG00000269155
PLCL1	2	198669426	199437305	ENSG00000115896
VARS	HSCHR6_MHC_APD	31756648	31775083	ENSG00000231116
MIP	12	56843286	56862950	ENSG00000135517
PUS1	12	132413745	132428406	ENSG00000177192
CSRP2	12	77252495	77272840	ENSG00000175183
SLC1A3	5	36606457	36688436	ENSG00000079215
CYB561D2	3	50388126	50395891	ENSG00000114395
SCML4	6	108025308	108145521	ENSG00000146285
IL1A	2	113531492	113542167	ENSG00000115008
COA1	7	43648055	43769316	ENSG00000106603
ARPC4-TTLL3	3	9834766	9877085	ENSG00000250151
SRRM1	1	24958207	24999758	ENSG00000133226
ADAM8	10	135075907	135090372	ENSG00000151651
ISM2	14	77940740	77965210	ENSG00000100593
LSAMP	3	115521235	117716095	ENSG00000185565
GALK1	17	73747675	73761792	ENSG00000108479
SPRYD4	12	56862301	56864763	ENSG00000176422
BTF3L4	1	52521797	52556388	ENSG00000134717
SET	9	131445703	131458679	ENSG00000119335
ANKEF1	20	9966774	10037410	ENSG00000132623
ZNF227	19	44711700	44741421	ENSG00000131115
TTYH2	17	72209653	72258155	ENSG00000141540
B3GALT4	HSCHR6_MHC_COX	33166523	33168208	ENSG00000226936
ACTRT3	3	169484709	169487683	ENSG00000184378
ATP6V0A4	7	138391040	138484305	ENSG00000105929
PPTC7	12	110969120	111021125	ENSG00000196850
CXorf23	X	19930978	19988416	ENSG00000173681
XXcos-LUCA11.5	3	50388323	50405354	ENSG00000272104
MAU2	19	19431490	19469563	ENSG00000129933
STOML3	13	39540062	39565203	ENSG00000133115
ALS2CR12	2	202152994	202222121	ENSG00000155749
MBD3L1	19	8943074	8954016	ENSG00000170948
COMT	22	19929130	19957498	ENSG00000093010
RSPH9	6	43612783	43640336	ENSG00000172426
GIN1	5	102421704	102455855	ENSG00000145723
OXLD1	17	79632066	79633665	ENSG00000204237
WDR46	HSCHR6_MHC_COX	33168491	33178914	ENSG00000204221
ACO1	9	32384618	32454767	ENSG00000122729
KLHL24	3	183353356	183402265	ENSG00000114796
AICDA	12	8754762	8765467	ENSG00000111732
XAGE1A	X	52255219	52260363	ENSG00000204379
MDC1	HSCHR6_MHC_QBL	30657119	30675200	ENSG00000206481
ZNF526	19	42724423	42732353	ENSG00000167625
WRB	21	40752170	40800454	ENSG00000182093
PWWP2A	5	159488808	159546430	ENSG00000170234
ZSCAN9	6	28192664	28201260	ENSG00000137185
PDSS1	10	26986588	27035727	ENSG00000148459
CCDC137	17	79633394	79640934	ENSG00000185298
HHIPL1	14	100111447	100146906	ENSG00000182218
PPA1	10	71962586	71993667	ENSG00000180817
RRAS2	11	14299472	14386052	ENSG00000133818
NFE2L2	2	178092323	178257425	ENSG00000116044
TMEM204	16	1578689	1605581	ENSG00000131634
RP11-342M21.2	15	67435072	67439277	ENSG00000259202
AP2A2	11	924894	1012239	ENSG00000183020
CD34	1	208057594	208084747	ENSG00000174059
TM2D3	15	102161847	102192594	ENSG00000184277
PROSER1	13	39584003	39612252	ENSG00000120685
GGT6	17	4460222	4464113	ENSG00000167741
GPBAR1	2	219124219	219128582	ENSG00000179921
ZNF524	19	56111388	56114504	ENSG00000171443
SLC16A5	17	73083822	73102257	ENSG00000170190
FABP6	5	159614374	159665742	ENSG00000170231
MGC39584	GL000193.1	49252	88375	ENSG00000215689
ZNF865	19	56116771	56128635	ENSG00000261221
KCNMB3	3	178957530	178984790	ENSG00000171121
AC018692.2	GL000193.1	86545	86855	ENSG00000229510
AAGAB	15	67493371	67547533	ENSG00000103591
GSK3A	19	42734338	42746777	ENSG00000105723
ZNF784	19	56132108	56135967	ENSG00000179922
ZFYVE9	1	52608046	52812358	ENSG00000157077
MUC16	19	8959520	9092018	ENSG00000181143
GLS2	12	56864736	56882198	ENSG00000135423
AGER	HSCHR6_MHC_COX	32097222	32100578	ENSG00000234729
C10orf11	10	77360998	78319925	ENSG00000148655
TRIM5	11	5684425	5959849	ENSG00000132256
TOPBP1	3	133317019	133380737	ENSG00000163781
ZNF580	19	56146382	56154835	ENSG00000213015
SETDB1	1	150898739	150937213	ENSG00000143379
H3F3B	17	73772515	73781974	ENSG00000132475
SMTNL2	17	4487294	4511614	ENSG00000188176
PPP2R3C	14	35554673	35591723	ENSG00000092020
MYNN	3	169490619	169507504	ENSG00000085274
LSM2	HSCHR6_MHC_APD	31776526	31786115	ENSG00000224979
TRH	3	129693148	129696781	ENSG00000170893
VARS	6	31745295	31763730	ENSG00000204394
ZNF595	4	53179	88099	ENSG00000197701
CCDC167	6	37450696	37467698	ENSG00000198937
CRAMP1L	16	1662326	1727909	ENSG00000007545
